#{"t_start": 1764497173.509435, "env_id": "dm_control/cartpole-swingup-v0"}
r,l,t
74.826397,1000,9.256467
71.674224,1000,19.040562
74.594587,1000,28.473817
71.459411,1000,38.615456
73.573788,1000,48.410524
73.659888,1000,57.652706
72.907724,1000,67.728759
74.083103,1000,77.522132
92.78221,1000,86.898121
128.393748,1000,96.852165
127.352224,1000,106.774167
129.066031,1000,116.195058
127.495387,1000,126.22091
127.321622,1000,136.2496
126.377226,1000,145.619511
127.642024,1000,155.676198
128.107348,1000,165.791751
128.709932,1000,175.139987
129.024003,1000,185.045378
128.889121,1000,195.136998
126.899318,1000,204.511206
128.328227,1000,214.446866
128.671772,1000,224.777078
126.688153,1000,234.184257
131.291137,1000,243.761213
129.364837,1000,253.350265
73.937759,1000,263.05265
72.995808,1000,272.418878
72.105804,1000,281.691078
74.681982,1000,291.102939
74.70629,1000,300.541217
76.510651,1000,309.784211
77.180892,1000,319.292078
135.558629,1000,328.597399
127.310317,1000,337.956168
127.733839,1000,347.252481
129.601166,1000,356.803689
127.396223,1000,366.107492
206.058896,1000,375.431059
161.837333,1000,384.762007
135.153172,1000,394.135237
148.436507,1000,403.417632
136.939734,1000,413.070302
135.552755,1000,422.492532
175.125406,1000,431.977199
344.132798,1000,441.335559
218.528957,1000,450.613382
164.078578,1000,459.839525
325.439947,1000,469.296823
163.460631,1000,478.646839
220.605073,1000,488.038673
153.23141,1000,497.601649
186.794522,1000,507.506371
175.083811,1000,516.998871
196.322244,1000,526.506421
305.727367,1000,535.975141
169.74441,1000,546.45674
279.991334,1000,556.131141
170.88706,1000,565.592182
220.057476,1000,575.211176
194.459206,1000,584.738941
292.445543,1000,594.207608
178.464887,1000,603.837493
161.434684,1000,613.309817
277.100431,1000,623.001878
423.388004,1000,632.54083
325.608771,1000,642.135107
306.683097,1000,651.780851
277.787071,1000,661.416106
317.483903,1000,671.050726
161.98812,1000,680.809981
328.255778,1000,690.554885
552.432624,1000,700.206933
622.773452,1000,710.137309
579.370073,1000,719.882208
253.496881,1000,729.61711
521.799149,1000,739.405813
469.329476,1000,749.153663
791.735088,1000,759.029072
752.702877,1000,768.824405
835.901129,1000,778.567647
835.869946,1000,788.507919
692.622157,1000,798.35221
837.309681,1000,808.592494
485.987998,1000,819.014266
733.763623,1000,828.948213
614.064334,1000,836.615149
266.155398,1000,843.812475
644.077367,1000,851.099537
251.176163,1000,858.516373
748.461078,1000,866.152055
597.955348,1000,873.61338
661.295535,1000,881.016983
701.29333,1000,888.433164
696.287345,1000,895.907968
688.941918,1000,903.352622
692.233637,1000,910.693635
678.345804,1000,918.091807
685.741138,1000,925.535975
616.722582,1000,932.980637
455.888462,1000,940.466076
599.120298,1000,948.023693
653.379518,1000,955.603545
760.330305,1000,963.050676
839.482477,1000,970.545884
633.499821,1000,977.954065
516.649924,1000,985.459286
620.063014,1000,992.986911
568.498573,1000,1000.534307
718.216402,1000,1008.116504
677.068317,1000,1015.803174
820.986466,1000,1023.334869
687.022129,1000,1030.857078
848.188476,1000,1038.334233
798.114145,1000,1045.746805
814.77522,1000,1053.21538
718.520221,1000,1060.711179
803.420347,1000,1068.18927
839.865938,1000,1075.653445
829.480965,1000,1083.159614
769.003366,1000,1090.675812
831.879821,1000,1098.158052
657.936224,1000,1105.643203
668.452096,1000,1113.080373
740.957343,1000,1120.538596
747.337028,1000,1128.035336
808.636277,1000,1135.526045
658.101424,1000,1142.999598
831.996742,1000,1150.480788
809.054677,1000,1158.140039
829.540227,1000,1165.599912
835.662925,1000,1173.02902
823.701908,1000,1180.486578
815.5003,1000,1187.940199
860.70513,1000,1195.402283
827.592526,1000,1202.91545
813.288688,1000,1210.354611
842.502914,1000,1217.937799
839.814088,1000,1225.399857
839.63027,1000,1232.867958
824.611166,1000,1240.283521
536.029512,1000,1247.728082
837.50025,1000,1255.178219
613.680304,1000,1262.750122
815.525659,1000,1270.277519
846.626396,1000,1278.212341
839.532247,1000,1286.069525
854.990433,1000,1293.99972
821.145533,1000,1301.79875
824.082626,1000,1309.792624
639.464293,1000,1317.431281
720.737696,1000,1325.054995
747.15767,1000,1332.69705
687.081574,1000,1340.278265
712.086531,1000,1347.812042
706.612619,1000,1355.471277
677.100653,1000,1363.00698
786.593577,1000,1370.639189
685.324026,1000,1378.234901
670.034209,1000,1385.791657
744.998414,1000,1393.242178
821.68621,1000,1400.769947
789.840973,1000,1408.269705
821.970533,1000,1415.844455
813.040027,1000,1423.368578
825.712071,1000,1430.869752
804.677746,1000,1438.393464
779.619729,1000,1445.935606
799.229597,1000,1453.435775
769.017856,1000,1460.943913
826.257153,1000,1468.467053
801.418925,1000,1475.993458
771.754085,1000,1483.560898
732.767342,1000,1491.158146
740.886543,1000,1498.620953
733.205252,1000,1506.187875
741.075382,1000,1513.722066
770.509737,1000,1521.245243
763.405779,1000,1528.673048
747.544038,1000,1536.173707
753.621273,1000,1543.818949
768.37963,1000,1551.582828
771.013961,1000,1559.167059
817.538602,1000,1566.648068
814.968405,1000,1574.117233
839.157083,1000,1581.60184
793.670732,1000,1589.142463
768.245848,1000,1596.810688
721.088788,1000,1604.647559
737.467617,1000,1613.546069
750.808355,1000,1621.325659
729.77546,1000,1628.919913
801.077497,1000,1636.498487
783.427502,1000,1644.105465
772.01029,1000,1651.649106
753.969349,1000,1659.137744
833.528957,1000,1666.691914
733.222853,1000,1674.260509
845.504593,1000,1681.764657
792.91699,1000,1689.281205
