#{"t_start": 1764498862.8631477, "env_id": "dm_control/cartpole-swingup-v0"}
r,l,t
79.004649,1000,6.436104
70.544667,1000,13.545766
116.747509,1000,20.637047
227.690662,1000,27.624033
218.226697,1000,34.654016
145.340561,1000,41.754296
234.313557,1000,48.751326
180.505331,1000,55.810484
258.172011,1000,62.949726
307.569967,1000,69.939682
194.282339,1000,76.999013
223.267423,1000,84.030082
199.52471,1000,91.035201
229.305316,1000,98.093176
281.783784,1000,105.146755
332.847224,1000,112.229341
282.941888,1000,119.360006
286.087913,1000,126.337046
493.927644,1000,133.387823
598.234499,1000,140.475044
574.485057,1000,147.524695
526.05828,1000,154.532354
554.935885,1000,161.586297
586.633433,1000,168.734415
564.018015,1000,175.757417
525.782874,1000,182.752631
322.039801,1000,189.806149
512.085846,1000,196.854702
587.685422,1000,203.88583
772.739313,1000,210.92398
543.072282,1000,218.025542
513.527214,1000,225.229967
644.873651,1000,232.738999
674.284153,1000,240.010199
691.59602,1000,247.133359
624.645324,1000,254.08284
486.35912,1000,261.045289
733.197327,1000,268.015362
637.511246,1000,275.187979
550.868419,1000,285.032652
764.300835,1000,291.855607
813.910222,1000,297.972745
793.573546,1000,303.947593
807.899778,1000,310.211309
691.254636,1000,316.513884
724.034517,1000,322.610074
825.638913,1000,328.615255
775.81751,1000,334.615665
795.451141,1000,340.748402
830.104311,1000,346.79935
724.313056,1000,352.75797
676.941982,1000,358.819516
738.155177,1000,365.017009
789.317805,1000,371.006307
635.932437,1000,376.95137
762.013444,1000,382.838746
582.401469,1000,388.805122
801.766254,1000,394.827212
781.296933,1000,400.905179
809.403811,1000,406.966702
770.945551,1000,413.215435
783.881871,1000,419.406207
812.777098,1000,425.483096
505.00855,1000,431.637549
831.4933,1000,437.749153
849.464606,1000,443.76682
839.989058,1000,449.861193
844.401311,1000,455.970074
832.892514,1000,462.260686
810.78103,1000,468.430085
841.472574,1000,474.684411
836.706473,1000,480.920677
728.533891,1000,487.199829
697.271789,1000,493.382534
797.748279,1000,499.590552
841.364645,1000,505.785836
779.752313,1000,512.044723
799.592387,1000,518.447109
702.092881,1000,525.285717
646.2967,1000,531.585611
523.256723,1000,537.97449
599.471755,1000,544.348658
661.666188,1000,550.757535
692.744303,1000,556.985748
712.257661,1000,563.216977
614.08686,1000,569.45454
719.881376,1000,575.81671
811.669759,1000,582.144375
802.877031,1000,588.39603
805.814459,1000,594.72147
815.670153,1000,600.96641
791.713088,1000,607.271028
806.198478,1000,613.462132
804.655185,1000,619.595678
810.057069,1000,625.768189
799.824606,1000,631.984724
777.137538,1000,638.350455
822.6929,1000,644.528378
781.199984,1000,650.638461
803.286674,1000,656.791655
780.261468,1000,663.312704
831.643975,1000,669.566678
822.936824,1000,675.748029
836.825666,1000,681.816952
851.358697,1000,688.031834
843.591403,1000,694.241262
804.750196,1000,700.426618
780.675266,1000,706.593669
826.145328,1000,712.846337
740.11558,1000,719.203592
817.749934,1000,725.495667
698.113979,1000,731.759284
742.291755,1000,737.977568
689.34667,1000,744.211731
660.487961,1000,750.506803
740.347846,1000,756.746134
801.810913,1000,763.006007
797.20307,1000,769.188613
812.595227,1000,775.428321
818.440268,1000,781.649126
791.89157,1000,787.867214
729.293639,1000,794.058115
787.96823,1000,800.29628
763.86767,1000,806.545837
746.24909,1000,812.819318
828.544476,1000,819.333393
824.147795,1000,825.625385
793.718631,1000,831.855645
784.131328,1000,838.183464
780.975392,1000,844.407317
807.039672,1000,850.655066
801.845437,1000,856.872779
825.078451,1000,863.461385
831.823163,1000,869.709605
818.33832,1000,875.899779
837.804012,1000,882.425671
841.497118,1000,888.620933
839.581094,1000,895.074221
844.810005,1000,901.311069
849.176962,1000,907.654259
826.410416,1000,914.000281
869.078665,1000,920.203611
782.488852,1000,926.516485
854.610812,1000,932.785451
859.536951,1000,939.110159
739.843108,1000,945.314338
768.156703,1000,951.571267
846.089918,1000,957.852906
777.790939,1000,964.201678
780.024632,1000,970.44947
841.196664,1000,976.66541
850.89059,1000,982.926293
860.994848,1000,989.351628
846.620983,1000,995.675347
820.79794,1000,1002.066933
834.214158,1000,1008.295249
831.615287,1000,1014.665645
790.061866,1000,1021.00521
857.487436,1000,1027.312322
813.637334,1000,1033.529769
749.96751,1000,1039.777776
785.470669,1000,1046.102733
789.335203,1000,1052.326305
756.27444,1000,1058.587868
811.096738,1000,1064.964461
840.89369,1000,1071.186356
766.800501,1000,1077.44661
844.991979,1000,1083.830993
863.41422,1000,1090.142844
834.22107,1000,1096.388509
811.939303,1000,1102.665664
847.375627,1000,1108.995517
816.25903,1000,1115.220459
809.770493,1000,1121.77497
833.791338,1000,1128.076904
777.890966,1000,1134.410671
824.817554,1000,1140.793244
833.090423,1000,1147.066195
829.996099,1000,1153.407545
716.498617,1000,1159.62358
849.031508,1000,1165.943097
850.278738,1000,1172.219753
844.185451,1000,1178.534057
849.493297,1000,1184.995081
839.131059,1000,1191.319547
836.35311,1000,1197.584457
847.89373,1000,1203.920247
824.873034,1000,1210.29824
838.731913,1000,1216.586432
816.938671,1000,1222.857635
832.472244,1000,1229.171506
844.038531,1000,1235.500208
830.68656,1000,1242.855535
843.179062,1000,1250.736959
839.162557,1000,1258.283077
841.656021,1000,1265.973196
834.667385,1000,1273.509552
820.288817,1000,1281.030265
801.926433,1000,1288.418035
794.105293,1000,1294.794403
